,Cluster Index,Value,x,y,z,Unnamed: 5,MNIx,MNIy,MNIz,AALno,AALname
0,2,28.8,62,44,23,,34,-38,-26,60,Fusiform gyrus
1,2,20.3,60,44,25,,30,-38,-22,60,Fusiform gyrus
2,2,16.3,60,44,27,,30,-38,-18,60,Fusiform gyrus
3,1,19.2,58,44,28,,26,-38,-16,60,Fusiform gyrus
