,Cluster Index,Value,x,y,z,Unnamed: 5,MNIx,MNIy,MNIz,AALno,AALname
0,3,4.36,59,23,28,,28,-80,-16,60,Fusiform gyrus
1,3,4.24,63,25,28,,36,-76,-16,60,Fusiform gyrus
2,2,4.62,64,35,25,,38,-56,-22,60,Fusiform gyrus
3,1,4.16,61,35,29,,32,-56,-14,60,Fusiform gyrus
