Cluster Index,Region,Cluster size,H,f-value,x,y,z
2,Fusiform gyrus,12,R,28.8,34,-38,-26
2,Fusiform gyrus,12,R,20.3,30,-38,-22
2,Fusiform gyrus,12,R,16.3,30,-38,-18
1,Fusiform gyrus,6,R,19.2,26,-38,-16
