,Cluster Index,Value,x,y,z,Unnamed: 5,MNIx,MNIy,MNIz,AALno,AALname
0,1,24.3,60,28,31,,30,-70,-10,60,Fusiform gyrus
1,1,23.1,61,33,29,,32,-60,-14,60,Fusiform gyrus
2,1,22.9,59,33,28,,28,-60,-16,60,Fusiform gyrus
3,1,20.8,60,31,28,,30,-64,-16,60,Fusiform gyrus
4,1,17.8,59,37,27,,28,-52,-18,60,Fusiform gyrus
5,1,14.2,61,24,33,,32,-78,-6,60,Fusiform gyrus
