Cluster Index	Value	x	y	z	
7	30.5	41	28	56
7	28	51	40	57
7	27.7	49	38	57
7	26.8	47	35	61
7	25.2	50	38	59
7	24.1	46	32	60
6	25.5	74	41	54
6	24.4	74	40	58
6	22.9	69	43	41
6	21.9	71	41	55
6	21.2	71	43	58
6	20.4	74	38	45
5	22.4	50	75	49
5	20.9	49	83	44
5	15.1	49	86	43
4	23.3	31	74	38
4	22.4	29	73	32
4	21.2	31	76	34
4	16.8	27	71	35
3	26.9	61	75	34
3	24.2	64	76	34
3	22.1	66	73	32
3	14.6	67	74	36
2	13.1	55	36	46
2	11.9	52	36	45
1	12.5	47	40	43
