Cluster Index,Region,Cluster size,H,f-value,x,y,z
1,Fusiform gyrus,241,R,24.3,30,-70,-10
1,Fusiform gyrus,241,R,23.1,32,-60,-14
1,Fusiform gyrus,241,R,22.9,28,-60,-16
1,Fusiform gyrus,241,R,20.8,30,-64,-16
1,Fusiform gyrus,241,R,17.8,28,-52,-18
1,Fusiform gyrus,241,R,14.2,32,-78,-6
