mu_c,eps_c,mu_e,eps_e
0.39771024810477,0.39771024810477,-0.387943063693729,-0.387943063693729
0.880318216463081,0.48260796835831,-0.862848758566715,-0.474905694872985
1.30834255657189,0.428024340108811,-1.28708099075397,-0.42423223218726
1.66746190199887,0.35911934542698,-1.64420848790458,-0.357127497150602
1.97216295765148,0.304701055652608,-1.94762691787934,-0.303418429974764
2.23608956005504,0.263926602403563,-2.21059710333965,-0.262970185460314
2.46890326357028,0.232813703515241,-2.44264060437737,-0.232043501037716
2.67728601468383,0.208382751113545,-2.65037862706853,-0.207738022691159
2.86597267277631,0.188686658092476,-2.83851388798552,-0.188135260916988
-0.163381125894047,-3.02935379867035,-3.0104900222151,-0.171976134229587
-1.09574648846551,-0.932365362571463,-3.16890323840797,-0.158413216192867
-1.56857065823982,-0.472824169774311,-3.31576116954974,-0.146857931141771
-1.91176942810497,-0.34319876986515,-3.45265016646039,-0.136888996910644
-2.19232954725446,-0.280560119149489,-3.58084685260798,-0.12819668614759
-2.43381270747415,-0.241483160219689,0.747297565953523,4.3281444185615
-2.64744365693627,-0.213630949462123,1.53820136956841,0.790903803614886
-2.83969230500025,-0.192248648063983,1.93421401416128,0.39601264459287
-3.01477324540003,-0.175080940399779,2.22609811153623,0.291884097374954
-3.17565860360617,-0.160885358206132,2.4678591423934,0.241761030857169
-3.32455831898292,-0.148899715376751,2.67843808580779,0.21057894341439
-3.46317747711779,-0.138619158134874,-0.0638124820168033,-2.7422505678246
-3.59286776424148,-0.129690287123684,-1.00668998313328,-0.942877501116472
-3.71472321135138,-0.121855447109906,-1.49168742673651,-0.484997443603236
-3.82964410510265,-0.114920893751269,-1.84233871684497,-0.350651290108456
-3.93838147477559,-0.108737369672941,-2.12797102144331,-0.285632304598339
-4.04156909323065,-0.103187618455057,-2.37317280403898,-0.245201782595672
-4.13974711091388,-0.0981780176832333,-2.58966709073099,-0.216494286692008
-4.23337989179991,-0.0936327808860297,-2.78419776516957,-0.194530674438578
-4.3228697194512,-0.0894898276512879,-2.96114469841973,-0.176946933250163
2.13914593145186,6.46201565090306,-3.12358666961629,-0.16244197119656
2.5998939805488,0.460748049096941,-3.27380599666086,-0.150219327044576
2.87185307386866,0.27195909331986,-3.41355883730105,-0.139752840640183
3.07953736835511,0.207684294486453,-3.54423405769209,-0.130675220391038
3.25421535431821,0.174677985963095,-3.66695345791614,-0.122719400224053
3.40829199027537,0.154076635957167,0.860092668936206,4.52704612685234
3.54787247366601,0.139580483390638,1.62135304992336,0.761260380987151
3.6764080456925,0.128535572026493,2.00518119400277,0.383828144079414
3.79605869491689,0.119650649224382,2.28892144743269,0.283740253429924
3.90828752112192,0.112228826205031,2.52438716470666,0.235465717273965
4.01414941014809,0.105861889026176,2.72983513776676,0.205447973060101
4.1144432560483,0.100293845900207,2.91385718630377,0.184022048537008
4.20979782011623,0.095354564067935,3.08131830073718,0.167461114433412
4.30072303779497,0.0909252176787325,3.23534577941548,0.154027478678299
4.38764227942535,0.0869192416303797,-0.393616801122013,-3.62896258053749
4.47091357718631,0.0832712977609678,-1.27639272668578,-0.88277592556377
4.55084416923833,0.0799305920520167,-1.71446246328284,-0.438069736597061
4.62770082931906,0.0768566600807347,-2.03390343501535,-0.319440971732506
4.70171743821251,0.0740166088934428,-2.29648310373998,-0.262579668724625
4.77310068806154,0.0713832498490326,-2.52370665785982,-0.227223554119846
4.84203448310892,0.0689337950473792,-2.72571808332821,-0.202011425468393
4.90868340462273,0.0666489215138139,-2.90831371116161,-0.182595627833398
-3.83018454301041,-8.73886794763314,-3.07525068709907,-0.166936975937457
-4.00161337737068,-0.171428834360276,-3.22917562266314,-0.153924935564067
-4.14058884377029,-0.138975466399611,-3.37205975825926,-0.14288413559612
-4.25991846270351,-0.11932961893322,-3.50542914702891,-0.133369388769653
-4.36604321313768,-0.106124750434167,-3.63049866723004,-0.125069520201126
3.23848021689589,7.60452343003357,0.812680996930851,4.44317966416089
3.48568509765828,0.24720488076239,1.58628741548019,0.773606418549341
3.66780506553688,0.1821199678786,1.97517266909997,0.38888525361978
3.81713599202378,0.149330926486902,2.26230915652055,0.287136487420576
3.94662355140034,0.129487559376565,2.50041040153022,0.23810124500967
4.06269067991826,0.116067128517915,2.70801285616546,0.207602454635236
4.16895688650441,0.106266206586146,2.893840105799,0.185827249633545
-2.21130996365013,-6.38026685015453,3.06283716829431,0.16899706249531
