mu_c,eps_c,mu_e,eps_e
0.377084397566997,0.377084397566997,0.387488917152345,0.387488917152345
0.843202873727193,0.466118476160196,0.862031873441566,0.474542956289221
1.26302473938064,0.419821865653448,1.28608383947414,0.424051966032571
1.61783294919362,0.354808209812979,1.6431166121196,0.357032772645464
1.91976898922423,0.301936040030608,1.94647427151145,0.303357659391848
2.18164088519956,0.261871895975328,2.20939928355792,0.262925012046473
2.41280299443312,0.231162109233567,2.44140646671696,0.232007183159036
2.61980426667081,0.20700127223769,2.64911410843077,0.207707641713814
2.80730965010448,0.187505383433667,2.83722339028417,0.188109281853398
2.97873953710101,0.171429886996527,-0.0977336608344292,-2.9349570511186
3.13667412305338,0.157934585952373,-1.04622588907798,-0.948492228243554
3.28310921436736,0.14643509131398,-1.52533651202471,-0.479110622946728
3.41962205499117,0.136512840623808,-1.87125162940879,-0.345915117384081
3.54748206993969,0.127860014948519,-2.15321259562397,-0.281960966215182
3.66772701028497,0.120244940345277,-2.39551004378191,-0.242297448157941
3.78121672295752,0.11348971267255,-0.0455042440543463,2.35000579972757
3.88867203276426,0.107455309806746,0.898319826240316,0.943824070294662
3.99070345476261,0.10203142199835,1.40155013496862,0.503230308728303
4.08783279301558,0.0971293382529663,1.76530844648863,0.363758311520013
4.18050965650085,0.0926768634852718,2.06062144668352,0.29531300019489
4.26912427356623,0.0886146170653825,0.0770531906192673,-1.98356825606426
4.35401756469567,0.084893291129443,-0.829975978945584,-0.907029169564852
4.43548915327862,0.0814715885829419,-1.34041329725381,-0.510437318308228
4.51380380411502,0.0783146508364075,-1.71232778207308,-0.371914484819265
4.58919664807586,0.0753928439608314,-2.01426215756138,-0.301934375488307
4.66187745898283,0.0726808109069726,-2.27217136880283,-0.257909211241445
4.73203418278183,0.070156723799003,-2.49880725256644,-0.22663588376361
4.79983587124906,0.0678016884672252,-0.0311468751736443,2.4676603773928
4.86543513733219,0.0655992660831338,0.921383344352304,0.952530219525949
4.92897022310457,0.0635350857723833,1.42170011940519,0.500316775052885
4.99056675166783,0.0615965285632538,1.78271112816913,0.361011008763937
5.05033921941615,0.0597724677483267,2.07585588988562,0.293144761716493
-4.01031439834708,-9.06065361776324,2.32680258885973,0.250946698974113
-4.16119143651909,-0.150877038172011,2.54784988701717,0.221047298157441
-4.28638980855214,-0.125198372033044,2.74608415973059,0.198234272713416
-4.39521980777968,-0.108829999227542,2.92610537615137,0.180021216420782
